1. 贵州大学 | 贵阳 | 106.671133, 26.44308
2. 贵州医科大学 | 贵阳 | 106.715199, 26.59819
3. 贵州师范大学 | 贵阳 | 106.721994, 26.589053
4. 贵州财经大学 | 贵阳 | 106.648227, 26.369862
5. 贵州民族大学 | 贵阳 | 106.622525, 26.373886
6. 贵州中医药大学 | 贵阳 | 106.701034, 26.582323
7. 贵州师范学院 | 贵阳 | 106.797404, 26.642645
8. 贵州理工学院 | 贵阳 | 106.613418, 26.37958
9. 贵阳学院 | 贵阳 | 106.777691, 26.557088
10. 贵州商学院 | 贵阳 | 106.628464, 26.726303
11. 贵阳康养职业大学 | 贵阳 | 106.602631, 26.61513
12. 贵州中医药大学时珍学院 | 贵阳 | 106.603876, 26.822164
13. 贵阳信息科技学院 | 贵阳 | 106.635225, 26.395076
14. 贵州医科大学神奇民族医药学院 | 贵阳 | 106.782328, 26.561741
15. 遵义医科大学 | 遵义 | 106.944653, 27.708014
16. 遵义师范学院 | 遵义 | 107.053049, 27.707964
17. 遵义医科大学医学与科技学院 | 遵义 | 107.085565, 27.721911
18. 茅台学院 | 遵义 | 106.334165, 27.739281
19. 黔南民族师范学院 | 都匀 | 107.520274, 26.291969
20. 贵州黔南经济学院 | 都匀 | 106.648639, 26.141384
21. 贵州黔南科技学院 | 都匀 | 106.653976, 26.145584
22. 凯里学院 | 凯里 | 107.893607, 26.523697
23. 六盘水师范学院 | 六盘水 | 104.818099, 26.575811
24. 安顺学院 | 安顺 | 105.897069, 26.243153
25. 兴义民族师范学院 | 兴义 | 104.972428, 25.161637
26. 贵州工程应用技术学院 | 毕节 | 105.315908, 27.294868
27. 铜仁学院 | 铜仁 | 109.201177, 27.73151
28. 贵州交通职业技术学院 | 贵阳 | 106.662875, 26.608925
29. 贵州轻工职业技术学院 | 贵阳 | 106.623465, 26.38705
30. 贵州职业技术学院 | 贵阳 | 106.603541, 26.606104
31. 贵州工业职业技术学院 | 贵阳 | 106.647813, 26.604467
32. 贵阳职业技术学院 | 贵阳 | 106.6037, 26.619419
33. 贵州护理职业技术学院 | 贵阳 | 106.667217, 26.466992
34. 贵州建设职业技术学院 | 贵阳 | 106.467739, 26.584701
35. 贵州农业职业学院 | 贵阳 | 106.43059, 26.581314
36. 贵州水利水电职业技术学院 | 贵阳 | 106.419834, 26.57395
37. 贵州食品工程职业学院 | 贵阳 | 106.424021, 26.570385
38. 贵州电子信息职业技术学院 | 凯里 | 107.991769, 26.581204
39. 黔南民族医学高等专科学校 | 都匀 | 107.523029, 26.260463
40. 遵义职业技术学院 | 遵义 | 107.046336, 27.711899
41. 毕节医学高等专科学校 | 毕节 | 105.437761, 27.23184
42. 铜仁幼儿师范高等专科学校 | 铜仁 | 109.230608, 27.792304
43. 铜仁职业技术大学 | 铜仁 | 109.215116, 27.778875
44. 铜仁数据职业学院 | 铜仁 | 109.145039, 27.613494
45. 毕节职业技术学院 | 毕节 | 105.433192, 27.216896
46. 安顺职业技术学院 | 安顺 | 105.777425, 26.052725
47. 六盘水职业技术学院 | 六盘水 | 104.791959, 26.606532
48. 黔西南民族职业技术学院 | 兴义 | 104.948544, 25.076415
